_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
23319,313,395203,EASTVIEW JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,20 WALDOCK ST,English Public,395203,20,Waldock St,20 Waldock St,M1E 2E5,Scarborough,Toronto,Eastview Junior Public School,102001,109224,20,,,,9177,329658.76300000004,4846602.431,43.758963359,-79.191280443,"{u'type': u'Point', u'coordinates': (-79.1912804405, 43.7589633617)}"
23320,314,1028895,EATONVILLE JUNIOR SCHOOL,,EP,Toronto District School Board,15 ROSSBURN DR,English Public,1028895,15,Rossburn Dr,15 Rossburn Dr,M9C 2P7,Etobicoke,Toronto,Eatonville Junior School,102001,912398,15,,,,2406,299425.20399999997,4833102.125,43.637840778999994,-79.566615072,"{u'type': u'Point', u'coordinates': (-79.5666150697, 43.6378407815)}"
23321,315,8321585,ECOLE ELEMENTAIRE CHARLES SAURIOL,,FP,Conseil scolaire Viamonde,55 PELHAM AVE,French Public,8321585,55,Pelham Ave,55 Pelham Ave,M6N 1A5,former Toronto,Toronto,St. Josaphat Catholic School,102004,14013188,55,,,,4173,308400.805,4836415.203,43.6676822507,-79.45535289189999,"{u'type': u'Point', u'coordinates': (-79.4553496276, 43.6676736698)}"
23322,316,992445,ECOLE ELEMENTAIRE FELIX LECLERC,,FP,Conseil scolaire Viamonde,50 CELESTINE DR,French Public,992445,50,Celestine Dr,50 Celestine Dr,M9R 3N3,Etobicoke,Toronto,Ecole Elementaire Felix Leclerc,102001,908942,50,,,,1320,299846.562,4838862.317,43.689693122,-79.561445638,"{u'type': u'Point', u'coordinates': (-79.5614456342, 43.689693123)}"
23323,317,853146,ECOLE ELEMENTAIRE GABRIELLE ROY,,FP,Conseil scolaire Viamonde,14 PEMBROKE ST,French Public,853146,14,Pembroke St,14 Pembroke St,M5A 2N7,former Toronto,Toronto,Ecole Elementaire Gabrielle Roy,102001,1144426,14,,,,4176,315098.613,4835190.025,43.656582836000005,-79.372319597,"{u'type': u'Point', u'coordinates': (-79.3723195931, 43.6565828383)}"
23324,318,496710,ECOLE ELEMENTAIRE JEANNE LAJOIE,,FP,Conseil scolaire Viamonde,150 CARNFORTH RD,French Public,496710,150,Carnforth Rd,150 Carnforth Rd,M4A 2K7,North York,Toronto,Ecole Elementaire Jeanne Lajoie,102001,442923,150,,,,5126,319179.495,4843853.452,43.734496768999996,-79.321494567,"{u'type': u'Point', u'coordinates': (-79.3214945674, 43.7344967726)}"
23325,319,32143,ECOLE ELEMENTAIRE LA MOSAIQUE,,FP,Conseil scolaire Viamonde,80 QUEENSDALE AVE,French Public,32143,80,Queensdale Ave,80 Queensdale Ave,M4J 1Y3,East York,Toronto,Ecole elementaire La Mosaique,102005,1795,80,,,,295,318461.95399999997,4838611.9569999995,43.6873390493,-79.3305382065,"{u'type': u'Point', u'coordinates': (-79.3305349885, 43.6873304546)}"
23326,320,30022744,ECOLE ELEMENTAIRE LAURE RIESE,,FP,Conseil scolaire Viamonde,339 ALTON TOWERS CRCL,French Public,30022744,339,Alton Towers Crcl,339 Alton Towers Crcl,M1V 4L3,Scarborough,Toronto,,115001,30021292,339,,,,9520,322703.48699999996,4853634.768999999,43.822462605,-79.27742207,"{u'type': u'Point', u'coordinates': (-79.2774220664, 43.8224626056)}"
23327,321,502996,ECOLE ELEMENTAIRE MATHIEU DA COSTA,,FP,Conseil scolaire Viamonde,116 CORNELIUS PKWY,French Public,502996,116,Cornelius Pkwy,116 Cornelius Pkwy,M6L 2K5,North York,Toronto,Ecole Elementaire Mathieu Da Costa,102001,445125,116,,,,5271,306771.347,4841986.419,43.717827928999995,-79.475534704,"{u'type': u'Point', u'coordinates': (-79.4755347034, 43.7178279267)}"
23328,322,1001929,ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR,,FP,Conseil scolaire Viamonde,85 41ST ST,French Public,1001929,85,Forty First St,85 Forty First St,M8W 3P1,Etobicoke,Toronto,Ecole Elementaire Micheline-Saint-Cyr,102001,914882,85,,,,1630,301264.769,4827810.41,43.59021886399999,-79.54378098800001,"{u'type': u'Point', u'coordinates': (-79.543780992, 43.5902188648)}"
23329,323,13315640,ECOLE ELEMENTAIRE PAUL DEMERS,,FP,Conseil scolaire Viamonde,100 RAVEL RD,French Public,13315640,100,Ravel Rd,100 Ravel Rd,M2H 1S9,North York,Toronto,Oxford Academy,102003,13315627,100,,,,6503,315476.165,4850229.577,43.791960442,-79.3673436222,"{u'type': u'Point', u'coordinates': (-79.3673403857, 43.7919518365)}"
23330,324,7576034,ECOLE ELEMENTAIRE PIERRE ELLIOTT TRUDEAU,,FP,Conseil scolaire Viamonde,65 GRACE ST,French Public,7576034,65,Grace St,65 Grace St,M6J 2S4,former Toronto,Toronto,Ecole Elementaire Pierre Elliott Trudeau,102001,14019222,65,,,,9808,311729.365,4834675.566000001,43.651991034,-79.414097488,"{u'type': u'Point', u'coordinates': (-79.4140974855, 43.651991039)}"
23331,325,486093,ECOLE SECONDAIRE ETIENNE BRULE,,FP,Conseil scolaire Viamonde,300 BANBURY RD,French Public,486093,300,Banbury Rd,300 Banbury Rd,M2L 2V3,North York,Toronto,Ecole Secondaire Etienne Brule,102001,441006,300,,,,4876,315140.748,4845814.1,43.752212241,-79.371593253,"{u'type': u'Point', u'coordinates': (-79.3715932541, 43.7522122439)}"
23332,326,8791751,ECOLE SECONDAIRE TORONTO OUEST,,FP,Conseil scolaire Viamonde,330 LANSDOWNE AVE,French Public,8791751,330,Lansdowne Ave,330 Lansdowne Ave,M6H 3Y1,former Toronto,Toronto,Saint Frere Andre,102004,30102548,330,,,,3814,309540.24,4834717.273,43.652383627,-79.441235425,"{u'type': u'Point', u'coordinates': (-79.4412354247, 43.6523836303)}"
23333,327,308915,EDGEWOOD PUBLIC SCHOOL,,EP,Toronto District School Board,230 BIRKDALE RD,English Public,308915,230,Birkdale Rd,230 Birkdale Rd,M1P 3S4,Scarborough,Toronto,Edgewood Public School,102001,30029983,230,,,,7367,323655.011,4847398.447,43.766305458000005,-79.265812032,"{u'type': u'Point', u'coordinates': (-79.2658120339, 43.7663054576)}"
